year,Rank,name,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link
2005,10,wigan athletic,51,-7,45,52,15,6,17,"35,00",£675k,£225k,"27,00",£11.61m,£1.06m,"26,00",£11.48m,£1.28m,"26,20",£8.82m,£1.76m,/wigan-athletic/startseite/verein/1071/saison_id/2005
2005,11,everton,50,-15,34,49,14,8,16,"26,80",£7.70m,£1.54m,"26,25",£39.92m,£3.33m,"26,29",£22.95m,£3.28m,"23,86",£28.24m,£4.03m,/fc-everton/startseite/verein/29/saison_id/2005
2005,12,fulham,48,-10,48,58,14,6,18,"28,60",£6.80m,£1.36m,"24,75",£21.92m,£1.83m,"27,60",£29.30m,£2.93m,"27,50",£5.81m,£1.45m,/fc-fulham/startseite/verein/931/saison_id/2005
2005,13,charlton athletic,47,-14,41,55,13,8,17,"26,50",£4.05m,£1.01m,"24,42",£17.19m,£1.43m,"26,57",£19.26m,£2.75m,"24,23",£26.98m,£2.08m,/charlton-athletic/startseite/verein/358/saison_id/2005
2005,14,middlesbrough,45,-10,48,58,12,9,17,"23,25",£4.10m,£1.02m,"24,73",£25.49m,£1.70m,"23,80",£30.20m,£3.02m,"24,30",£38.88m,£3.89m,/fc-middlesbrough/startseite/verein/641/saison_id/2005
2005,15,manchester city,43,-5,43,48,13,4,21,"27,75",£6.26m,£1.56m,"24,09",£27.25m,£2.48m,"23,86",£7.54m,£1.08m,"25,33",£27.72m,£3.08m,/manchester-city/startseite/verein/281/saison_id/2005
2005,16,aston villa,42,-13,42,55,10,12,16,"23,67",£6.84m,£2.28m,"25,63",£24.86m,£3.11m,"24,33",£34.88m,£2.91m,"22,43",£28.67m,£4.10m,/aston-villa/startseite/verein/405/saison_id/2005
2005,17,portsmouth,38,-25,37,62,10,8,20,"28,00",£4.84m,£968k,"26,63",£17.64m,£2.21m,"25,55",£31.64m,£2.88m,"25,17",£27.63m,£2.30m,/fc-portsmouth/startseite/verein/1020/saison_id/2005
2005,18,birmingham city,34,-22,28,50,8,10,20,"29,33",£2.97m,£990k,"24,58",£21.42m,£1.79m,"25,20",£23.51m,£2.35m,"26,00",£37.94m,£4.74m,/birmingham-city/startseite/verein/337/saison_id/2005
2005,19,west bromwich albion,30,-27,31,58,7,9,22,"26,33",£5.45m,£1.82m,"24,89",£8.69m,£965k,"24,83",£20.57m,£1.71m,"26,14",£14.85m,£2.12m,/west-bromwich-albion/startseite/verein/984/saison_id/2005
2005,20,sunderland,15,-43,26,69,3,6,29,"23,00",£990k,£330k,"24,64",£16.11m,£1.46m,"23,44",£10.40m,£1.16m,"22,29",£5.22m,£746k,/afc-sunderland/startseite/verein/289/saison_id/2005
